crate,slot,channel,cable,pmt,pc,qccc,bundle,hv,type,x,y,z,panel
0,0,0,,,,,,0,,0,0,0,H000-00
0,0,1,EDND,PMIB,JMVM,AP31,GAON,1872,0x00,546.754,6.344,-640.627,H280-14
0,0,2,EDNC,PPJN,JMVL,AP30,GAON,1871,0x00,561.516,26.68,-625.109,H280-13
0,0,3,EDNB,PMNC,JMVK,AP29,GAON,1856,0x00,576.273,46.991,-609.592,H280-12
0,0,4,EDNA,PPJQ,JMVJ,AP28,GAON,1869,0x00,591.05,67.323,-594.054,H280-11
0,0,5,EDMZ,,JMVI,AP27,GAON,0,0x00,605.807,87.634,-578.537,H280-10
0,0,6,EDMY,PMRZ,JMVH,AP26,GAON,1851,0x00,540.251,34.982,-643.844,H280-09
0,0,7,EDMX,PMSQ,JMVG,AP25,GAON,1861,0x00,555.013,55.318,-628.326,H280-08
0,0,8,EDMW,PPKS,JOJF,AP24,GAOM,1851,0x00,569.785,75.625,-612.789,H280-07
0,0,9,EDMV,,JOJE,AP23,GAOM,0,0x00,584.548,95.961,-597.271,H280-06
0,0,10,EDMU,PMOE,JOJD,AP22,GAOM,1850,0x00,533.749,63.62,-647.062,H280-05
0,0,11,EDMT,PMUI,JOJC,AP21,GAOM,1865,0x00,548.521,83.927,-631.525,H280-04
0,0,12,EDMS,PGEO,JOJB,AP20,GAOM,1865,0x00,563.283,104.263,-616.006,H280-03
0,0,13,EDMR,PPHL,JOJA,AP19,GAOM,1871,0x00,527.276,92.226,-650.276,H280-02
0,0,14,EDMQ,PPEY,JOIZ,AP18,GAOM,1855,0x00,542.038,112.562,-634.757,H280-01
0,0,15,EDOP,PNSC,JOIY,AP17,GAOT,1862,0x00,677.345,197.438,-460.032,H283-14
0,0,16,EDOO,PNRU,JOMP,AP16,GAOT,1868,0x00,666.818,178.297,-479.928,H283-13
0,0,17,EDON,PGRW,JOMO,AP15,GAOT,1855,0x00,656.303,159.196,-499.831,H283-12
0,0,18,EDOM,POMW,JOMN,AP14,GAOT,1872,0x00,645.781,140.072,-519.709,H283-11
0,0,19,EDOL,PKZM,JOMM,AP13,GAOT,1871,0x00,635.275,120.937,-539.618,H283-10
0,0,20,EDOK,POOP,JOML,AP12,GAOT,1867,0x00,684.782,168.888,-458.472,H283-09
0,0,21,EDOJ,POEU,JOMK,AP11,GAOT,1856,0x00,674.259,149.764,-478.35,H283-08
0,0,22,EDOI,PLDB,JOMJ,AP10,GAOS,1862,0x00,663.745,130.663,-498.253,H283-07
0,0,23,EDOH,PLFR,JOMI,AP09,GAOS,1870,0x00,653.244,111.546,-518.144,H283-06
0,0,24,EDOG,PKZH,JOHB,AP08,GAOS,1872,0x00,692.223,140.355,-456.894,H283-05
0,0,25,EDOF,PKOJ,JOHA,AP07,GAOS,1866,0x00,681.722,121.237,-476.784,H283-04
0,0,26,EDOE,PKZT,JOGZ,AP06,GAOS,1870,0x00,671.207,102.137,-496.688,H283-03
0,0,27,EDOD,PLMH,JOGY,AP05,GAOS,1870,0x00,699.686,111.829,-455.329,H283-02
